lead_id,industry,company_size,interaction_count,email_opens,website_visits,purchase_history,conversion
1,Healthcare,Medium,1,26,79,2772,0
2,Finance,Small,8,12,13,4300,0
3,Technology,Medium,8,44,52,116,0
4,Finance,Small,11,32,47,3291,0
5,Finance,Large,9,5,68,492,0
6,Manufacturing,Large,5,23,89,8716,0
7,Technology,Small,14,18,61,6372,1
8,Technology,Small,3,15,91,671,0
9,Technology,Small,5,39,65,3731,0
10,Finance,Large,5,27,63,6272,0
11,Healthcare,Small,19,32,69,9412,0
12,Technology,Large,14,47,62,7277,1
13,Finance,Medium,4,40,72,8533,0
14,Manufacturing,Large,13,12,32,,1
15,Healthcare,Large,10,42,40,8223,1
16,Manufacturing,Medium,18,44,88,,1
17,Healthcare,Large,8,24,47,9080,0
18,Finance,Small,8,41,12,7551,1
19,Retail,Small,7,35,72,,1
20,Healthcare,Large,8,26,76,875,0
21,Manufacturing,Small,14,,30,6969,0
22,Finance,Large,19,6,74,,0
23,Healthcare,Small,6,4,67,7188,0
24,Retail,Small,1,42,97,178,0
25,Retail,Large,15,44,3,8180,0
26,Technology,Small,1,30,18,7199,0
27,Technology,Large,17,22,69,4026,0
28,Manufacturing,Small,1,41,97,9147,0
29,Healthcare,Small,15,9,81,7440,0
30,Healthcare,Medium,2,31,12,7183,0
31,Technology,Medium,14,42,,6330,0
32,Healthcare,Large,8,29,82,9323,0
33,Healthcare,Medium,8,38,74,,1
34,Retail,Large,19,30,,3371,0
35,Technology,Medium,7,17,87,3556,0
36,Finance,Small,19,35,53,7888,1
37,Technology,Large,6,1,70,8699,0
38,Finance,Large,6,13,88,7750,0
39,Retail,Small,3,12,84,2811,1
40,Manufacturing,Large,7,28,14,1768,1
41,Healthcare,Large,19,11,64,,0
42,Retail,Medium,8,38,,6520,0
43,Healthcare,Large,10,1,70,465,1
44,Manufacturing,Small,15,31,14,9966,0
45,Manufacturing,Medium,15,12,20,4631,0
46,Retail,Medium,1,45,18,5430,1
47,Manufacturing,Small,7,26,59,5610,0
48,Finance,Small,4,48,92,8854,0
49,Manufacturing,Medium,6,40,88,9064,0
50,Healthcare,Large,1,16,32,6593,1
51,Healthcare,Medium,5,39,48,5539,0
52,Healthcare,Small,1,30,95,9865,0
53,Healthcare,Medium,4,,34,6611,0
54,Finance,Small,2,23,43,7604,0
55,Technology,Medium,10,44,89,1346,0
56,Retail,Large,5,34,10,3939,1
57,Healthcare,Medium,10,47,98,8651,0
58,Manufacturing,Medium,1,5,71,2476,0
59,Healthcare,Small,6,18,77,3109,1
60,Manufacturing,Small,13,29,73,9254,0
61,Manufacturing,Small,15,6,65,1927,1
62,Healthcare,Medium,4,9,45,7079,0
63,Finance,Large,13,40,8,9905,0
64,Manufacturing,Small,15,31,2,9932,0
65,Manufacturing,Small,8,33,84,8669,1
66,Healthcare,Medium,5,27,25,4385,0
67,Manufacturing,Small,15,14,71,7010,0
68,Manufacturing,Large,4,29,47,8661,0
69,Healthcare,Large,12,36,65,2296,0
70,Healthcare,Small,13,28,69,3847,0
71,Retail,Small,2,21,27,8943,1
72,Finance,Medium,19,,92,6078,0
73,Finance,Large,19,19,25,5707,1
74,Manufacturing,Large,4,31,24,869,0
75,Finance,Small,4,,11,880,0
76,Manufacturing,Medium,11,49,4,6403,0
77,Retail,Large,5,,97,4083,0
78,Healthcare,Large,11,26,47,9603,1
79,Healthcare,Medium,10,16,36,8814,1
80,Healthcare,Medium,8,,78,,0
81,Finance,Large,6,21,43,9227,0
82,Retail,Large,6,16,99,7669,0
83,Finance,Medium,8,9,14,5884,1
84,Finance,Large,15,0,42,4683,0
85,Retail,Small,14,21,47,6046,0
86,Retail,Small,11,25,86,5041,1
87,Retail,Medium,12,17,69,6367,0
88,Retail,Medium,13,49,45,7228,0
89,Healthcare,Medium,8,13,,2561,0
90,Technology,Small,18,46,20,,1
91,Technology,Large,1,28,22,2260,0
92,Retail,Small,15,11,79,7131,0
93,Technology,Large,8,35,46,9859,0
94,Technology,Small,11,34,14,5441,0
95,Retail,Large,12,11,24,138,0
96,Technology,Small,12,6,35,4975,0
97,Finance,Medium,4,28,74,1356,0
98,Manufacturing,Small,16,10,50,7797,0
99,Manufacturing,Large,4,32,14,2296,0
100,Retail,Small,5,5,67,7265,0
101,Healthcare,Small,5,46,20,401,1
102,Retail,Small,8,14,12,7627,0
103,Healthcare,Medium,10,31,85,6481,1
104,Manufacturing,Small,17,10,18,746,1
105,Retail,Medium,9,22,33,8889,0
106,Finance,Medium,19,25,77,8953,0
107,Technology,Small,14,33,67,4430,0
108,Healthcare,Small,8,45,51,9660,0
109,Technology,Small,9,33,26,7103,0
110,Technology,Large,11,28,28,3637,0
111,Retail,Small,1,3,27,4658,0
112,Technology,Medium,14,16,34,6679,1
113,Finance,Small,5,34,,8574,0
114,Technology,Large,14,12,15,9778,1
115,Retail,Small,4,40,35,4182,0
116,Finance,Large,1,38,29,4283,1
117,Manufacturing,Large,19,14,17,8752,0
118,Technology,Small,8,28,1,3854,0
119,Retail,Medium,15,28,48,1824,0
120,Manufacturing,Large,15,10,76,1476,0
121,Manufacturing,Small,9,31,3,8806,0
122,Healthcare,Small,9,1,89,8994,1
123,Finance,Medium,10,46,88,1753,0
124,Technology,Large,9,13,93,2166,0
125,Retail,Large,3,19,74,122,1
126,Healthcare,Small,11,21,6,2560,1
127,Finance,Small,6,10,94,6026,0
128,Healthcare,Medium,2,26,73,6351,0
129,Finance,Medium,7,2,38,9596,0
130,Finance,Large,18,16,12,7395,0
131,Technology,Large,2,43,30,3400,1
132,Finance,Small,17,27,70,6379,1
133,Healthcare,Large,11,28,62,8653,1
134,Finance,Medium,12,20,55,7453,1
135,Technology,Medium,19,46,41,3827,0
136,Technology,Small,7,15,60,6372,1
137,Healthcare,Medium,6,36,41,6095,1
138,Manufacturing,Medium,1,19,55,9576,0
139,Manufacturing,Medium,17,5,35,614,1
140,Finance,Medium,11,18,83,548,0
141,Retail,Small,18,4,67,6119,0
142,Finance,Small,17,2,6,5443,1
143,Healthcare,Large,7,0,53,8133,0
144,Healthcare,Medium,17,,0,2620,0
145,Healthcare,Large,9,14,43,3181,0
146,Healthcare,Small,17,33,44,1528,0
147,Healthcare,Small,8,34,46,4067,1
148,Technology,Small,17,48,12,6545,0
149,Manufacturing,Small,7,24,21,9214,0
150,Healthcare,Small,1,23,20,2259,1
151,Retail,Small,13,11,85,5232,0
152,Retail,Small,19,17,91,2647,0
153,Retail,Medium,19,14,8,3079,0
154,Retail,Large,17,43,25,2749,1
155,Technology,Small,13,15,8,8605,0
156,Retail,Medium,16,26,14,3183,0
157,Healthcare,Medium,8,7,9,1137,0
158,Finance,Large,19,45,87,3589,0
159,Retail,Small,18,24,41,7704,0
160,Technology,Large,1,16,71,7644,0
161,Technology,Small,14,28,23,2734,0
162,Retail,Medium,19,7,79,4083,1
163,Finance,Medium,15,14,48,1878,0
164,Retail,Medium,18,26,25,8002,1
165,Technology,Medium,2,45,90,5210,1
166,Manufacturing,Large,17,49,36,5289,1
167,Healthcare,Small,18,6,67,7478,0
168,Technology,Small,6,2,49,1224,0
169,Retail,Large,19,28,23,,0
170,Healthcare,Small,4,43,18,2279,0
171,Retail,Medium,1,23,99,9696,0
172,Retail,Small,8,,59,,1
173,Manufacturing,Medium,7,19,38,9335,1
174,Healthcare,Large,3,45,73,2029,0
175,Healthcare,Small,10,14,88,1113,0
176,Manufacturing,Large,10,24,17,326,1
177,Technology,Small,19,29,18,7421,0
178,Retail,Medium,14,13,35,1928,0
179,Finance,Large,2,6,73,8009,1
180,Retail,Small,1,16,96,5688,0
181,Retail,Medium,18,43,54,2123,0
182,Technology,Large,7,,68,5066,0
183,Retail,Large,8,35,46,5991,1
184,Manufacturing,Small,1,8,48,1180,0
185,Manufacturing,Small,3,37,98,5136,0
186,Healthcare,Small,8,47,97,2663,0
187,Finance,Medium,15,21,32,3392,0
188,Retail,Small,5,1,20,3686,0
189,Retail,Large,3,23,80,4531,1
190,Technology,Large,19,7,21,6941,0
191,Manufacturing,Small,1,10,47,6743,1
192,Finance,Small,15,12,36,4059,0
193,Healthcare,Large,8,16,14,261,0
194,Manufacturing,Medium,2,7,34,693,0
195,Healthcare,Small,3,20,91,3490,0
196,Technology,Small,14,17,70,6097,0
197,Technology,Large,14,29,31,6454,0
198,Retail,Small,11,17,10,763,0
199,Finance,Medium,16,45,9,9424,0
